1f9d6-200d-2642,man_in_steamy_room
1f9d6-200d-2640,woman_in_steamy_room
1f9d6-1f3ff-200d-2642,man_in_steamy_room_dark_skin_tone
1f9d6-1f3ff-200d-2640,woman_in_steamy_room_dark_skin_tone
1f9d6-1f3ff,person_in_steamy_room_dark_skin_tone
1f9d6-1f3fe-200d-2642,man_in_steamy_room_medium-dark_skin_tone
1f9d6-1f3fe-200d-2640,woman_in_steamy_room_medium-dark_skin_tone
1f9d6-1f3fe,person_in_steamy_room_medium-dark_skin_tone
1f9d6-1f3fd-200d-2642,man_in_steamy_room_medium_skin_tone
1f9d6-1f3fd-200d-2640,woman_in_steamy_room_medium_skin_tone
1f9d6-1f3fd,person_in_steamy_room_medium_skin_tone
1f9d6-1f3fc-200d-2642,man_in_steamy_room_medium-light_skin_tone
1f9d6-1f3fc-200d-2640,woman_in_steamy_room_medium-light_skin_tone
1f9d6-1f3fc,person_in_steamy_room_medium-light_skin_tone
1f9d6-1f3fb-200d-2642,man_in_steamy_room_light_skin_tone
1f9d6-1f3fb-200d-2640,woman_in_steamy_room_light_skin_tone
1f9d6-1f3fb,person_in_steamy_room_light_skin_tone
1f9d6,person_in_steamy_room
1f9d5-1f3ff,woman_with_headscarf_dark_skin_tone
1f9d5-1f3fe,woman_with_headscarf_medium-dark_skin_tone
1f9d5-1f3fd,woman_with_headscarf_medium_skin_tone
1f9d5-1f3fc,woman_with_headscarf_medium-light_skin_tone
1f9d5-1f3fb,woman_with_headscarf_light_skin_tone
1f9d5,woman_with_headscarf
1f9d4-200d-2642,man_beard
1f9d4-200d-2640,woman_beard
1f9d4-1f3ff-200d-2642,man_dark_skin_tone_beard
1f9d4-1f3ff-200d-2640,woman_dark_skin_tone_beard
1f9d4-1f3ff,person_dark_skin_tone_beard
1f9d4-1f3fe-200d-2642,man_medium-dark_skin_tone_beard
1f9d4-1f3fe-200d-2640,woman_medium-dark_skin_tone_beard
1f9d4-1f3fe,person_medium-dark_skin_tone_beard
1f9d4-1f3fd-200d-2642,man_medium_skin_tone_beard
